userId,movieId,tag,timestamp
15,339,sandra 'boring' bullock,1138537770
15,1955,dentist,1193435061
15,7478,Cambodia,1170560997
15,32892,Russian,1170626366
15,34162,forgettable,1141391765
15,35957,short,1141391873
15,37729,dull story,1141391806
15,45950,powerpoint,1169616291
15,100365,activist,1425876220
15,100365,documentary,1425876220
15,100365,uganda,1425876220
23,150,Ron Howard,1148672905
68,2174,music,1249808064
68,2174,weird,1249808102
68,8623,Steve Martin,1249808497
73,107999,action,1430799184
73,107999,anime,1430799184
73,107999,kung fu,1430799184
73,111624,drama,1431584497
73,111624,indie,1431584497
73,111624,love,1431584497
73,130682,b movie,1432523704
23,150,Ron Howard,1148672905
68,2174,music,1249808064
73,130682,comedt,1432523704
73,130682,horror,1432523704
77,1199,Trilogy of the Imagination,1163220043
77,2968,Gilliam,1163220138
77,2968,Trilogy of the Imagination,1163220039
77,4467,Trilogy of the Imagination,1163220065
77,4911,Gilliam,1163220167
77,5909,Takashi Miike,1163219591
77,47465,Gilliam,1163220186
84,296,intense,1429911417
84,296,r:violence,1429911417
84,296,tarantino,1429911417
91,4388,parody,1448813502
94,1131,emotional,1291781542
94,1131,tragedy,1291781538
94,64957,original plot,1291781246
94,74458,Predictable,1291780920
106,48711,CHRISTIAN,1215923364
132,4189,jesus,1367909949
132,4612,jesus,1367909949
132,6683,bollywood,1367909913
132,6986,jesus,1367909949
132,27255,No progress,1283581045
132,27255,Too slow,1283581045
132,27255,Views,1283581045
138,260,cult classic,1440379022
138,260,Science Fiction,1440379018
138,1258,cult film,1440380361
138,1258,jack nicholson,1440380355
138,1258,psychological,1440380357
138,1258,Stanley Kubrick,1440380352
138,1704,genius,1440380467
138,1704,intellectual,1440380463
138,1704,mathematics,1440380466
138,1704,psychology,1440380470
138,4226,Mindfuck,1440380125
138,4226,nonlinear,1440380113
138,4226,psychology,1440380115
138,4226,twist ending,1440380118
138,4995,genius,1440380440
138,4995,intelligent,1440380446
138,4995,math,1440380438
