743,390
141,92
656,355
767,400
364,220
897,476
787,396
836,432
631,352
19,41
94,70
247,148
54,46
343,186
947,508
846,427
557,292
507,291
75,67
636,336
906,489
858,469
731,402
483,269
358,198
554,291
278,162
944,489
144,99
532,268
756,408
111,65
584,301
175,127
697,379
52,51
429,226
398,205
638,323
175,90
6,27
341,203
108,90
886,476
484,248
267,168
50,65
686,363
977,514
956,493
754,407
777,407
685,364
397,207
765,410
99,74
255,158
798,402
517,295
535,293
629,336
882,452
482,253
344,183
835,454
965,520
317,159
325,191
686,349
430,240
879,452
333,197
569,304
117,71
52,59
852,436
484,253
40,57
970,505
218,122
496,287
393,233
492,262
46,40
331,185
502,276
682,377
497,287
694,364
719,370
404,231
725,371
721,364
800,422
226,136
779,398
823,447
187,106
349,200
477,278
